zz6,zz7,zz8,zz9,pm1a,pm2a,pm1b,pm2b,pm1c_1,pm1c_2,pm2c_1,pm2c_2,d1,d4,d5_1,d5_2,d5_3,d5_4,d5_5,d6_1,d6_2,d6_3,d6_4,d6_5,d6_6,d6_7,d6_8,d8,d9,altq,berj,wostd,lfdn,weight0
Faktenboxen,Untertitel in Filmen,'signifikant'-Formulierung,'signifikant'-Formulierung + Cohens U3,2,sehr informativ,sehr sicher,sehr sicher,stimme voll und ganz zu,stimme nicht zu,stimme eher zu,stimme voll und ganz zu,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,Grundschule,Ich habe kein Lehramtsstudium absolviert und habe einen Seiten- bzw. Quereinstig vollzogen.,48,1,1,163,1.143
Untertitel in Filmen,G8,'signifikant'-Formulierung + Cohens U3,Cohen's U3,4,3,4,4,stimme eher nicht zu,stimme eher nicht zu,stimme nicht zu,stimme eher nicht zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,Realschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,36,6,2,164,0.651
PISA 2009 Deutschland,Motivationsförderung im Matheunterricht,'signifikant'-Formulierung,'signifikant'-Formulierung + Cohens U3,sehr informativ,2,3,2,stimme eher nicht zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,weiblich,ja,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Grundschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,39,13,6,166,1.209
Motivationsförderung im Matheunterricht,Untertitel in Filmen,p-Wert,Cohen's d,sehr uninformativ,4,4,sehr unsicher,stimme eher nicht zu,stimme eher zu,stimme eher nicht zu,stimme eher zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Förder- oder Sonderschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,41,16,99,167,0.838
PISA 2009 Deutschland,G8,'signifikant'-Formulierung + Cohens U3,'signifikant'-Formulierung,4,2,2,2,stimme eher zu,stimme eher nicht zu,stimme eher zu,stimme nicht zu,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich habe ein Lehramtsstudium an der Universität absolviert.,45,12,2,168,1.205
Motivationsförderung im Matheunterricht,Faktenboxen,Bayes Faktor,p-Wert,3,sehr uninformativ,3,sehr unsicher,stimme eher zu,stimme eher zu,weiß nicht / keine Angabe,weiß nicht / keine Angabe,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Förder- oder Sonderschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,45,16,43,169,1.16
Faktenboxen,Motivationsförderung im Matheunterricht,Bayes Faktor,'signifikant'-Formulierung + Cohens U3,3,4,4,4,unentschieden,unentschieden,unentschieden,unentschieden,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Förder- oder Sonderschule,Ich habe meine Lehramtsqualifikation an einer anderen lehrerbildenden Institution (z.B. Pädagogisches Fachseminar) erworben.,58,40,6,170,1.096
Motivationsförderung im Matheunterricht,Faktenboxen,'signifikant'-Formulierung + Cohens U3,p-Wert,sehr uninformativ,sehr uninformativ,3,4,unentschieden,stimme eher zu,unentschieden,stimme nicht zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich haben ein Lehramtsstudium an einer Pädagogischen Hochschule absolviert.,30,6,42,171,0.871
Untertitel in Filmen,Motivationsförderung im Matheunterricht,Bayes Faktor,p-Wert,4,3,3,4,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher nicht zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,32,5,NA,172,1.041
Motivationsförderung im Matheunterricht,PISA 2009 Deutschland,'signifikant'-Formulierung + Cohens U3,Bayes Faktor,weiß nicht / keine Angabe,2,weiß nicht / keine Angabe,weiß nicht / keine Angabe,weiß nicht / keine Angabe,weiß nicht / keine Angabe,weiß nicht / keine Angabe,weiß nicht / keine Angabe,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Grundschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,60,31,23,173,0.782
Motivationsförderung im Matheunterricht,PISA 2009 Deutschland,Bayes Faktor,p-Wert,2,2,3,3,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Förder- oder Sonderschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,34,2,NA,175,1.16
PISA 2009 Deutschland,Untertitel in Filmen,Bayes Faktor,'signifikant'-Formulierung + Cohens U3,sehr uninformativ,2,sehr unsicher,2,stimme nicht zu,stimme nicht zu,stimme eher zu,unentschieden,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,65,40,42,176,0.712
Faktenboxen,G8,p-Wert,'signifikant'-Formulierung,4,2,4,2,stimme eher zu,unentschieden,stimme voll und ganz zu,stimme eher nicht zu,weiblich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich habe ein Lehramtsstudium an der Universität absolviert.,60,29,6,177,0.779
G8,Untertitel in Filmen,'signifikant'-Formulierung,Bayes Faktor,sehr informativ,sehr informativ,sehr sicher,2,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Grundschule,Ich habe ein Lehramtsstudium an der Universität absolviert.,55,32,10,179,1.209
Motivationsförderung im Matheunterricht,G8,'signifikant'-Formulierung,'signifikant'-Formulierung + Cohens U3,4,2,3,2,stimme eher zu,stimme eher nicht zu,stimme eher nicht zu,stimme voll und ganz zu,männlich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,27,1,28,180,1.515
Untertitel in Filmen,G8,'signifikant'-Formulierung + Cohens U3,Bayes Faktor,sehr informativ,sehr uninformativ,sehr sicher,sehr unsicher,stimme voll und ganz zu,stimme nicht zu,stimme eher nicht zu,stimme eher zu,weiblich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Grundschule,Ich habe kein Lehramtsstudium absolviert und habe einen Seiten- bzw. Quereinstig vollzogen.,40,15,NA,182,1.209
Untertitel in Filmen,G8,p-Wert,'signifikant'-Formulierung,sehr uninformativ,sehr informativ,4,sehr sicher,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,Mitglied der Schulleitung,Mitglied der Steuergruppe,no  Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich habe ein Lehramtsstudium an der Universität absolviert.,33,9,44,183,0.922
PISA 2009 Deutschland,Motivationsförderung im Matheunterricht,p-Wert,'signifikant'-Formulierung + Cohens U3,3,2,sehr sicher,sehr sicher,stimme voll und ganz zu,stimme nicht zu,stimme voll und ganz zu,stimme nicht zu,männlich,nein,"mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","no  mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",no  mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,Schule mit mehreren Bildungsgängen (z.B. Gemeinschaftsschule oder Stadtteilschule),Ich habe kein Lehramtsstudium absolviert und habe einen Seiten- bzw. Quereinstig vollzogen.,42,12,6,184,0.922
Faktenboxen,PISA 2009 Deutschland,Cohen's U3,Cohen's d,4,sehr uninformativ,3,sehr unsicher,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme eher zu,männlich,nein,"no  mindestens ein Fach im mathematischen, naturwissenschaftlichen oder technischen Bereich (z.B. Mathematik, Biologie, Chemie, Physik)","mindestens ein Fach im sprachlichen Bereich (z.B. Englisch, Französisch, Germanistik, Griechisch)",mindestens ein Fach im geisteswissenschaftlichen oder sozialwissenschaftlichen Bereich,no  mindestens ein Fach im ästhetischen Bereich (z.B. Kunstwissenschaft oder Musikwissenschaft),no  keine Angabe,no  Keine,no  Mitglied der Schulleitung,no  Mitglied der Steuergruppe,Bereichs- bzw. Fachschaftsleitung,no  Fachberaterin bzw. Fachberater,no  Beratungslehrerin bzw. Beratungslehrer,no  sonstiges,no  keine Angabe,(berufliches) Gymnasium,Ich habe ein Lehramtsstudium an der Universität absolviert.,63,26,99,185,0.544
